,Max Sharpe Portfolio,Min Volatility Portfolio
2018-10-26,-0.10531369790760958,-0.06286450230165919
2018-10-29,-0.12356565021141197,-0.06637580792884379
2018-10-30,-0.10929758604422601,-0.06276436924686823
2018-10-31,-0.08860607618822725,-0.06091343530423432
2018-11-01,-0.0766897677337175,-0.05596658249123143
2018-11-02,-0.09103791742660639,-0.0649726607964638
2018-11-05,-0.09323248610459922,-0.06064756439607366
2018-11-06,-0.08643272313065986,-0.0583154901316848
2018-11-07,-0.05803785681859486,-0.04860535763882523
2018-11-08,-0.06398841305688152,-0.04942948947468351
2018-11-09,-0.07954625831744788,-0.04965626897088993
2018-11-12,-0.10707581597539506,-0.054165863371048895
2018-11-13,-0.10633811094095291,-0.05527370781754304
2018-11-14,-0.11308663997236701,-0.057837222589883
2018-11-15,-0.09772364061988548,-0.053665881973248175
2018-11-16,-0.10080860846433548,-0.04954399753979921
2018-11-19,-0.12970805608739722,-0.05527533867042678
2018-11-20,-0.14513393914669281,-0.06289817090194383
2018-11-21,-0.1387008023570826,-0.06164730857276768
2018-11-23,-0.14486421807735572,-0.06390393891678259
2018-11-26,-0.12530436689528035,-0.05831720428324816
2018-11-27,-0.12236918180385237,-0.05631301286153845
2018-11-28,-0.09443210806089386,-0.04914274391566231
2018-11-29,-0.0973232920471957,-0.04800251468666428
2018-11-30,-0.09080412508992997,-0.04343796706712755
2018-12-03,-0.07500486485316338,-0.034017436676863855
2018-12-04,-0.11000721170878258,-0.039048522195990865
2018-12-06,-0.10376170697733444,-0.03801694161746638
2018-12-07,-0.13305519906115482,-0.04701901263809993
2018-12-10,-0.12403270331928273,-0.04401699189525676
2018-12-11,-0.12116196903688337,-0.04400486358358069
2018-12-12,-0.11353781785738748,-0.04420970185162243
2018-12-13,-0.11329166794594403,-0.04560529889786735
2018-12-14,-0.13464919774572826,-0.051646502377214354
2018-12-17,-0.1540267482286175,-0.056900235560319645
2018-12-18,-0.14871344754703897,-0.05422516871357563
2018-12-19,-0.16931240270772818,-0.05364596714404779
2018-12-20,-0.181270754667042,-0.06242322742137241
2018-12-21,-0.20640572762461418,-0.07110025608073844
2018-12-24,-0.22586703529160113,-0.07950065113838767
